qid;query;expanded_queries
PLAIN-711;blood clots;"['1. ""venous thrombosis""', '2. ""deep vein thrombosis""', '3. ""pulmonary embolism""', '4. ""arterial blood clot""', '5. ""thromboembolic events""', '6. ""intracranial hemorrhage""', '7. ""cerebral infarction""', '8. ""vascular thrombus formation""', '9. ""hemorrhagic stroke""']"
PLAIN-721;bmaa;"['1. What is BMAA?', '2. How does BMAA work?', '3. Is BMAA dangerous?', '4. What are potential health effects of BMAA?', '5. Where can I find information about BMAA?', '6. Can BMAA be detected in food?', ""7. What's the difference between BMAA and other toxins?"", '8. Are there any studies on BMAA?', '9. How might BMAA affect wildlife?']"
PLAIN-731;bone fractures;"['1. ""broken bones""', '2. ""crushing injuries""', '3. ""limb damage""', '4. ""extreme injuries""', '5. ""tender tissues""', '6. ""dislocation pain""', '7. ""joint trauma""', '8. ""muscle strain""', '9. ""fractured ribs""']"
PLAIN-741;bph;['1. bladder pain', '2. urinary tract infection symptoms', '3. prostate issues', '4. lower abdominal discomfort', '5. kidney problems overview', '6. bladder health tips', '7. urological disorders', '8. male genitourinary system', '9. urination difficulties']
PLAIN-751;brca genes;['1. Breast cancer susceptibility gene', '2. Hereditary breast and ovarian cancer gene', '3. BRCA gene mutations', '4. Genetic predisposition to breast cancer', '5. Carcinogen associated with breast cancer', '6. Oncogene involved in breast cancer', '7. BRCA1/BRCA2 deficiency', '8. Cancer risk factor linked to BRCA genes', '9. Mutated BRCA genes association']
PLAIN-761;breast pain;"['1. ""pain in my breast""', '2. ""aching in my breasts""', '3. ""sharp discomfort in my chest area""', '4. ""pressure sensation in my breast""', '5. ""burning sensation in my breasts""', '6. ""numbness around my breasts""', '7. ""itchy feeling in my breasts""', '8. ""thready sensation in my breast tissue""', '9. ""distress in my breast region""']"
PLAIN-771;bronchiolitis obliterans;"['1. Bronchial asthma', '2. Airway inflammation', '3. Pulmonary interstitial fibrosis', '4. Bronchiole disease', '5. Alveolar capillary obstruction', '6. Lung tissue scarring', '7. Airways constriction', '8. Respiratory airway damage', ""9. Lungs' blood vessel blockage""]"
PLAIN-782;bush administration;"['1. ""past presidents of the united states""', '2. ""presidential transition process""', '3. ""change in government policies""', '4. ""administration continuity issues""', '5. ""new president inauguration""', '6. ""succession of leadership roles""', '7. ""political shift within the government""', '8. ""transition from previous administration""', '9. ""government reshuffle and changes""']"
PLAIN-792;cadaverine;"['1. ""search for cadaveric fluid""', '2. ""cadaveric remains information""', '3. ""detectives seeking cadaver evidence""', '4. ""cadaver body identification process""', '5. ""cadaveric decomposition studies""', '6. ""cadaverine gas detection kit""', '7. ""cadavers\' chemical composition analysis""', '8. ""cadaver smell research project""', '9. ""cadaver urine study""']"
PLAIN-806;caloric restriction;['1. Low calorie diet', '2. Energy saving eating habits', '3. Nutrient density increase', '4. Food intake reduction strategy', '5. Calorie counting method', '6. Balanced meal plan', '7. Weight loss with less calories', '8. High protein diet', '9. Reduced carbohydrate consumption']
PLAIN-817;canker sores;['1. Oral ulcers', '2. Mouth sores', '3. Fissure pockets', '4. Herpetiform ulcerations', '5. Aphthous stomatitis', '6. Canine stomatitis', '7. Mucosal erosions', '8. Pseudomembranous candidiasis', '9. Recurrent aphthous ulcers']
PLAIN-827;carcinogens;['1. Health risks from carcinogens in food', '2. Cancer-causing substances and their effects', '3. Carcinogenic agents and their impact on human health', '4. Risks associated with exposure to carcinogens', '5. Carcinogens in drinking water and their consequences', '6. Carcinogenic compounds and their medical implications', '7. Effects of carcinogens on reproductive health', '8. Carcinogens and their role in environmental pollution', '9. Carcinogens and cancer prevention measures']
PLAIN-838;carrageenan;"['1. ""marine algae extract""', '2. ""alginate substitute""', '3. ""kelp-based thickener""', '4. ""red seaweed product""', '5. ""sea vegetable stabilizer""', '6. ""brown algae supplement""', '7. ""ocean plant binder""', '8. ""seaweed derivative ingredient""', '9. ""blue-green alga thickening agent""']"
PLAIN-850;cauliflower;"['1. ""broccoli alternatives""', '2. ""vegetable substitute for cauliflower""', '3. ""white cabbage options""', '4. ""spinach substitutes for cauliflower""', '5. ""edamame as a cauliflower replacement""', '6. ""sprouting broccoli equivalent""', '7. ""carrot alternatives for cooking""', '8. ""green cabbage substitutes in recipes""', '9. ""turnip root as cauliflower mimic""']"
PLAIN-872;chanterelle mushrooms;"['1. ""Where can I find chanterelles in my area?""', '2. ""How do I identify and collect chanterelle mushrooms safely?""', '3. ""What are some recipes using chanterelle mushrooms?""', '4. ""Why are chanterelles considered a delicacy in certain regions?""', '5. ""Can you recommend reliable sources for buying chanterelle mushroom seeds?""', '6. ""How do I tell if a chanterelle is poisonous before picking it?""', '7. ""Are there any medicinal properties associated with chanterelle mushrooms?""', '8. ""In what season are chanterelles typically found growing wild?""', '9. ""Which cooking techniques best preserve the flavor of chanterelle mushrooms?""']"
PLAIN-882;chernobyl;"['1. ""uranium disaster site""', '2. ""safety breach of reactor 4""', '3. ""incident at chornobyl nuclear power plant""', '4. ""leakage from chernobyl accident""', '5. ""explosion and fire incident in chernobyl""', '6. ""nuclear meltdown at chernobyl""', '7. ""emergency evacuation from chernobyl zone""', '8. ""radiological contamination around chernobyl""', '9. ""cleanup efforts following chernobyl disaster""']"
PLAIN-892;chickpeas;"['1. ""how can i make chickpea salad""', '2. ""recipes for roasted chickpeas""', '3. ""health benefits of chickpeas""', '4. ""what are some dishes with chickpeas?""', '5. ""nutrition facts of chickpeas""', '6. ""can you grow your own chickpeas?""', '7. ""traditional uses of chickpeas in cooking""', '8. ""best sources of protein from chickpeas""', '9. ""how do you cook chickpeas at home?""']"
PLAIN-902;chlorophyll;"['1. ""what is chlorophyll""', '2. ""definition of chlorophyll""', '3. ""chemical structure of chlorophyll""', '4. ""function of chlorophyll in plants""', '5. ""sources of chlorophyll in nature""', '6. ""benefits of consuming chlorophyll""', '7. ""synthesis process of chlorophyll""', '8. ""mechanism of chlorophyll production""', '9. ""roles of chlorophyll in photosynthesis""']"
PLAIN-913;cinnamon;"['1. How can I use cinnamon in baking?', '2. What are some recipes using cinnamon?', '3. Where do you buy cinnamon at my local grocery store?', '4. Can cinnamon be used as a spice for cooking?', '5. What are the health benefits of consuming cinnamon regularly?', '6. How does cinnamon taste compared to other spices?', ""7. What is the history behind cinnamon's cultivation and trade?"", '8. Are there any cinnamon-based desserts available online?', '9. How should I store cinnamon to maintain its freshness?']"
PLAIN-924;cocaine;"['1. ""methamphetamine""', '2. ""heroin""', '3. ""prescription painkillers""', '4. ""illegal drugs""', '5. ""substance abuse treatment""', '6. ""overdose prevention""', '7. ""drug addiction recovery""', '8. ""synthetic opioids""', '9. ""controlled substances database""']"
PLAIN-934;coffee;['1. Dark roast espresso', '2. Filtered black coffee', '3. Strong brewed beverage', '4. Decaffeinated java', '5. Mocha flavored drink', '6. Cold brew concentrate', '7. Espresso shot preparation', '8. Coffee blend options', '9. Smoothie with creamer']
PLAIN-946;coma;"['1. ""state of being in a deep sleep""', '2. ""unconsciousness due to brain damage""', '3. ""extreme drowsiness resulting from illness""', '4. ""medical condition where consciousness is lost temporarily""', '5. ""sudden loss of awareness and responsiveness""', '6. ""brain failure causing lack of mental alertness""', '7. ""condition characterized by persistent unconscious state""', '8. ""disconnection between brain and body leading to unawareness""', '9. ""temporary cessation of cognitive function""']"
PLAIN-956;cooking methods;['1. How can I improve my cooking skills?', '2. What are some innovative cooking techniques?', '3. Cooking tips for beginners.', '4. Advanced cooking techniques explained.', '5. Healthy cooking methods for meals.', '6. Popular cooking techniques around the world.', '7. Best recipes using unconventional cooking methods.', '8. Easy cooking tricks and shortcuts.', '9. Creative cooking hacks for a gourmet meal.']
PLAIN-966;cortisol;"['1. What are the effects of cortisol?', '2. How does cortisol influence metabolism?', '3. Cortisol and its role in stress response.', '4. Cortisol levels and their impact on health.', '5. Understanding cortisol: sources and functions.', '6. Cortisol production and regulation mechanisms.', '7. The physiological effects of cortisol release.', '8. Cortisol and its effect on immune system.', ""9. Cortisol's action on blood sugar levels.""]"
PLAIN-977;crib death;['1. SIDS (Sudden Infant Death Syndrome)', '2. cot death', '3. infant death syndrome', '4. sudden unexpected neonatal loss', '5. infant death case study', '6. cribbed death', '7. sudden infant death cases', '8. fatal sleep disorder in infants', '9. newborn death syndrome']
PLAIN-987;cumin;"['1. ""how to use cumin in cooking""', '2. ""benefits of consuming cumin seeds""', '3. ""cumin powder recipe for roasted vegetables""', '4. ""health benefits of cumin and its uses""', '5. ""cumin oil health benefits""', '6. ""different types of cumin used in cuisine""', '7. ""cumin seeds nutritional value""', '8. ""cumin as a spice in Indian recipes""', '9. ""uses of cumin in traditional medicine""']"
PLAIN-997;czechoslovakia;"['1. ""slovak republic""', '2. ""czecho-slovakia""', '3. ""ceskoslovensko""', '4. ""czechoslovakia state""', '5. ""czechoslovak federation""', '6. ""ceská republika""', '7. ""cska republika""', '8. ""ceskoslaskie kraje""', '9. ""ceske země""']"
PLAIN-1008;deafness;['1. Impairment of hearing ability', '2. Loss of auditory function', '3. Condition affecting hearing sensitivity', '4. Hearing disability', '5. Sound perception impairment', '6. Auditory system malfunction', '7. Lack of hearing sense', '8. Hearing loss condition', '9. Sensory deficit in hearing']
PLAIN-1018;dha;"['1. ""Sources of DHA in diet""', '2. ""DHA deficiency symptoms""', '3. ""Benefits of consuming DHA""', '4. ""Omega-3 fatty acid DHA""', '5. ""Supplementing with DHA for health benefits""', '6. ""Natural sources of DHA""', '7. ""Precautions while taking DHA supplements""', '8. ""Role of DHA in brain development""', '9. ""DHA content in fish oil capsules""']"
PLAIN-1028;dietary scoring;['1. nutritional value score', '2. food diary analysis', '3. calorie counting system', '4. health rating scale', '5. meal plan evaluation', '6. dietary index assessment', '7. nutrition grade determination', '8. food quality score metric', '9. caloric content measurement']
PLAIN-1039;domoic acid;"['1. ""effects of domoic acid""', '2. ""toxicity of domoic acid""', '3. ""detection methods for domoic acid""', '4. ""treatment options for domoic acid poisoning""', '5. ""long-term effects of domoic acid exposure""', '6. ""clinical studies on domoic acid""', '7. ""symptoms associated with domoic acid""', '8. ""management strategies for domoic acid intoxication""', '9. ""recovery timeline after domoic acid ingestion""']"
PLAIN-1050;dr dean ornish;"['1. ""Dr Dean Ornish diet plan""', '2. ""Dr Dean Ornish nutrition guide""', '3. ""Dr Dean Ornish healthy living advice""', '4. ""Dr Dean Ornish holistic lifestyle""', '5. ""Dr Dean Ornish cancer prevention method""', '6. ""Dr Dean Ornish heart disease treatment option""', '7. ""Dr Dean Ornish vegetarian meal ideas""', '8. ""Dr Dean Ornish exercise routine recommendations""', '9. ""Dr Dean Ornish vegan health benefits""']"
PLAIN-1066;dr walter willett;"[""1. Dr Walter Willett's research"", '2. Walter Willett doctor profile', '3. Dr Walter Willett bio and background', '4. Walter Willett medical achievements', '5. Walter Willett dietitian credentials', '6. Walter Willett nutritional studies', '7. Walter Willett health impacts', '8. Walter Willett nutrition analysis', '9. Walter Willett public health views']"
PLAIN-1088;ecmo;['1. Extracorporeal membrane oxygenation', '2. ECMO devices and accessories', '3. Life support system for heart failure', '4. Ventricular assist device (VAD)', '5. Mechanical circulatory support', '6. Cardiac extracorporeal circulation', '7. Oxygenator machine in medicine', '8. Heart-lung bypass machine', '9. Artificial cardiac pump']
PLAIN-1098;eggnog;"['1. ""spiced rum""', '2. ""mulled wine""', '3. ""coconut eggnog""', '4. ""egg nog recipe""', '5. ""ginger ale eggnog""', '6. ""egg nogg""', '7. ""egg and milk drink""', '8. ""egg and cream drink""', '9. ""egg-based holiday drink""']"
PLAIN-1109;endocrine disruptors;['1. Hormone disruptors', '2. Endocrine system interference substances', '3. Biochemical agents affecting hormone production', '4. Environmental chemicals impacting hormonal balance', '5. Reproductive toxicants interfering with hormones', '6. Hormone mimics disrupting normal bodily functions', '7. Endocrine active compounds altering endogenous hormones', '8. Hormonal disrupters in food and water supply', '9. Chemicals disrupting natural hormone signaling pathways']
PLAIN-1119;energy drinks;"['1. ""caffeinated beverages""', '2. ""boost energy products""', '3. ""jolted drink options""', '4. ""high caffeine drinks""', '5. ""power elixirs""', '6. ""electrolyte packed refreshers""', '7. ""jolt shot alternatives""', '8. ""energizing concoctions""', '9. ""boosting beverages""']"
PLAIN-1130;ergothioneine;"['1. ""what is ergothioneine""', '2. ""benefits of ergothioneine""', '3. ""where can i find ergothioneine supplements""', '4. ""uses of ergothioneine in medicine""', '5. ""ergothioneine side effects""', '6. ""health benefits of ergothioneine""', '7. ""ergothioneine absorption rate""', '8. ""ergothioneine dosage for athletes""', '9. ""how does ergothioneine work?"" Expand your thinking and provide a detailed analysis on how each of these alternatives captures different aspects of the original search query:']"
PLAIN-1141;evidence-based medicine;['1. Medical practices validated by scientific evidence', '2. Evidence analysis in healthcare decision-making', '3. Scientific validation of clinical interventions', '4. Data-driven medical diagnosis methods', '5. Evidence synthesis for health policy formulation', '6. Effectiveness assessment using empirical data', '7. Research-supported treatment guidelines', '8. Outcome measurement through controlled trials', '9. Clinical practice based on empirical findings']
PLAIN-1151;factory farming practices;['1. Methods of raising livestock in industrial settings', '2. Agricultural techniques used in large-scale meat production', '3. Industrial methods for animal rearing and food processing', '4. Practices involved in producing large quantities of meat', '5. Techniques employed by factory farms to increase efficiency', '6. Strategies utilized in intensive animal husbandry operations', '7. Procedures followed in modern commercial poultry farming', '8. Approaches taken in mass-scale beef cattle breeding', '9. Tactics implemented in contemporary swine production systems']
PLAIN-1161;fava beans;['1. What are fava beans?', '2. How do you prepare fava beans?', '3. Fava bean recipe ideas.', '4. Health benefits of fava beans.', '5. Where can I buy fresh fava beans?', '6. Traditional uses for fava beans.', '7. Cooking with fava beans in Italian cuisine.', '8. Fava bean soup - how to make it.', '9. Medicinal properties of fava beans.']
PLAIN-1172;fenugreek;"['1. ""how to use fenugreek in cooking""', '2. ""fenugreek seeds health benefits""', '3. ""fenugreek for hair growth""', '4. ""fenugreek tea recipe""', '5. ""fenugreek supplements dosage""', '6. ""fenugreek side effects""', '7. ""fenugreek and kidney stones""', '8. ""fenugreek for weight loss""', '9. ""fenugreek oil uses""']"
PLAIN-1183;finland;"['1. Where can I find information about Finland?', '2. What are some facts about Finland?', '3. How is Finland known internationally?', '4. Which countries share borders with Finland?', '5. Can you tell me about Finnish culture and traditions?', '6. Where does the Finnish language originate from?', '7. Are there any famous landmarks in Finland worth visiting?', '8. What kind of industries are prominent in Finland?', ""9. Could you provide some details about Finland's climate?""]"
PLAIN-1193;flax oil;['1. Omega-3 Flax Oil', '2. Ground Flaxseed Oil Supplement', '3. Flax Seed Oil for Hair Growth', '4. Linoleic Acid Rich Flax Oil', '5. Flax Seed Oil Benefits for Skin Health', '6. Flaxseed Oil for Joint Pain Relief', '7. Flax Oil Extract for Cooking', '8. Flaxseed Oil Capsules with Vitamin E', '9. Flaxseed Oil for Weight Loss']
PLAIN-1203;folic acid;"['1. ""vitamin B9 supplementation""', '2. ""folate intake""', '3. ""fortified foods and folic acid content""', '4. ""absorption of vitamin b9""', '5. ""role of folic acid in pregnancy health""', '6. ""folic acid deficiency symptoms""', '7. ""synthesis of folic acid by bacteria""', '8. ""benefits of taking folic acid supplements""', '9. ""medical uses of folic acid""']"
PLAIN-1214;fosamax;['fosamax', '- treatment for osteoporosis', '- feldykaos', '- alendronate therapy', '- bone density medication', '- bisphosphonate drugs', '- prescription for femoral fractures', '- risedopa with fosamax', '- tetracycline and fosamax interaction']
PLAIN-1225;fructose;"['1. ""sugars containing fructose""', '2. ""high-fructose corn syrup""', '3. ""natural sweeteners with fructose""', '4. ""table sugar substitute fructose""', '5. ""dextrose and fructose blend""', '6. ""fruit juice concentrate""', '7. ""corn syrup with high fructose content""', '8. ""levulose (fructose)""', '9. ""sweetener derived from fruits""']"
PLAIN-1236;galactosemia;"['1. ""finding foods for galactosemia patients""', '2. ""symptoms and treatment of galactosemia""', '3. ""diet restrictions for individuals with galactosemia""', '4. ""causes of galactosemia explained""', '5. ""testing methods for detecting galactosemia""', '6. ""genetic mutations linked to galactosemia""', '7. ""impact of galactosemia on daily life""', '8. ""common complications associated with galactosemia""', '9. ""prevention strategies against galactosemia""']"
PLAIN-1249;genetic manipulation;"['1. Genetic modification techniques', '2. Altering DNA through scientific methods', '3. Genetic engineering processes', '4. Changing genes using biotechnology', '5. Modifying hereditary traits by science', '6. Manipulating biological sequences with technology', ""7. Enhancing life forms' genetic makeup"", '8. Engineering organisms for specific purposes', '9. Biological alteration of living beings']"
PLAIN-1262;global burden of disease study;['1. Comprehensive assessment of health impacts across nations', '2. Worldwide evaluation of health outcomes and causes of death', '3. Global health impact analysis including mortality rates', '4. International overview of disease prevalence and severity', '5. Comparative study of global health conditions and consequences', '6. Global perspective on disease distribution and its effects', '7. Analysis of global health statistics and their determinants', '8. World-wide examination of health risks and diseases', '9. Universal survey of health issues affecting populations globally']
PLAIN-1275;goji berries;"['1. ""organic goji berry supplements""', '2. ""goji berry health benefits""', '3. ""buy goji berry tea online""', '4. ""how to use goji berries for skin""', '5. ""goji berry powder recipes""', '6. ""best goji berry smoothie bowl""', '7. ""goji berry energy boost""', '8. ""goji berry nutritional value""', '9. ""goji berry juice blend options""']"
PLAIN-1288;grapes;"['1. ""how do i make homemade grape juice?""', '2. ""best way to preserve fresh grapes""', '3. ""grape cultivation and harvesting process""', '4. ""list of common grape varieties worldwide""', '5. ""grape nutrition facts for health benefits""', '6. ""recipes using dried grapes as a main ingredient""', '7. ""grape seed oil uses in skincare products""', '8. ""grape stem culinary uses""', '9. ""history and origin of raisins from grapes""']"
PLAIN-1299;growth promoters;"['1. What are some effective growth enhancers?', ""2. How do I increase my business's market share effectively?"", '3. What are natural alternatives for growth stimulants?', '4. Can you suggest supplements for boosting productivity?', '5. What is the best way to improve employee retention rates?', '6. Are there any innovative methods for increasing sales volume?', '7. Which strategies can be used to enhance crop yield in agriculture?', '8. How does genetic modification impact plant growth?', '9. What are the benefits of using probiotics in human health?']"
PLAIN-1309;halibut;['1. What are some recipes for cooking halibut?', '2. How can I prepare a halibut fillet?', '3. Where can I find affordable halibut restaurants near me?', '4. What is the best way to clean and store halibut?', '5. Can you recommend a restaurant with halibut as an ingredient?', '6. How do I season halibut before grilling it?', '7. What are the nutritional benefits of eating halibut?', '8. Are there any halibut dishes that go well with wine?', '9. Which cuts of halibut are the most tender?']
PLAIN-1320;harvard physicians’ study ii;"[""1. Harvard's latest physician research project"", '2. Recent findings from Harvard medical studies II', ""3. Physicians' investigation into health issues"", ""4. Analysis of Harvard's second physician study"", '5. Latest Harvard medical study on patient care', '6. Research by Harvard in healthcare professionals', '7. Study on physicians conducted at Harvard', '8. Medical research by Harvard faculty members', ""9. Insights from Harvard's second clinical study""]"
PLAIN-1331;hearing;['1. How can I improve my hearing?', '2. What are some exercises for improving hearing?', '3. Can you recommend any apps for enhancing your hearing ability?', '4. How does age affect hearing loss?', '5. Are there specific foods that can help maintain good hearing health?', '6. Which techniques can be used to train the ear to hear better?', '7. How do genetics play a role in hearing impairment?', '8. Is it possible to reverse hearing loss once it occurs?', '9. What steps should someone take if they suspect hearing problems?']
PLAIN-1342;heme iron;['1. Iron content in hemoglobin', '2. Importance of heme iron absorption', '3. Benefits of supplemental iron for health', '4. Foods rich in heme iron', '5. Sources of non-heme iron compared to heme iron', '6. Heme iron deficiency symptoms and causes', '7. Impact of dietary habits on iron absorption', '8. Role of ferritin in iron metabolism', '9. Factors affecting the bioavailability of iron from foods']
PLAIN-1353;hernia;['1. Abdominal mass', '2. Intestinal obstruction', '3. Nephroptosis', '4. Inguinal hernia repair', '5. Hiatal hernia symptoms', '6. Mesenteric hernia diagnosis', '7. Umbilical hernia pain relief', '8. Herniated disc treatment', '9. Pelvic organ prolapse']
PLAIN-1363;hiroshima;"['1. ""bombing of hiroshima""', '2. ""impact of atomic bomb on hiroshima""', '3. ""remnants of hiroshima""', '4. ""atomic bombing in hiroshima""', '5. ""universe after hiroshima bombing""', '6. ""holy city of hiroshima""', '7. ""reconstruction of hiroshima""', '8. ""historical sites in hiroshima""', '9. ""economic impact of hiroshima bombings""']"
PLAIN-1374;hormonal dysfunction;['1. Imbalance in Hormone Levels', '2. Disruption of Endocrine Function', '3. Abnormalities in Hormones', '4. Dysfunction of Glands', '5. Hormonal Imbalance Symptoms', '6. Endocrine System Disorders', '7. Hormone Deficiency Conditions', '8. Hormonal Imbalance Causes', '9. Hormonal Imbalance Effects']
PLAIN-1387;hyperactivity;"['1. ""excessive energy levels""', '2. ""impulsivity disorder""', '3. ""overactive behavior""', '4. ""restless activity""', '5. ""fidgety movements""', '6. ""inattentive hyperactivity""', '7. ""uncontrollable stimulation""', '8. ""highly active state""', '9. ""distractibility issues""']"
PLAIN-1398;igf-1;['1. How does IGF-1 impact insulin-like growth factor?', '2. What are the potential effects of IGF-1 on human health?', '3. Are there any studies exploring the role of IGF-1 in cancer treatment?', '4. How can I increase my IGF-1 levels naturally?', '5. In what ways is IGF-1 used for medical purposes?', '6. Can IGF-1 be administered orally?', '7. What are the side effects associated with IGF-1 therapy?', '8. Is there a connection between IGF-1 and aging?', '9. How might IGF-1 affect bone density in older adults?']
PLAIN-1409;industrial toxins;['1. What are common industrial toxins and their effects?', '2. Industrial chemicals causing health issues - what are they?', '3. Toxic substances in factories - a comprehensive guide', '4. List of harmful industrial pollutants with details', '5. Effects of workplace toxic chemicals - an overview', '6. Health risks associated with industrial solvents', '7. Exposure to industrial toxins - how to protect yourself', '8. Industries using dangerous chemicals - a detailed report', '9. Chemicals found in manufacturing plants - key facts about them']
PLAIN-1419;insects;"['1. ""Identifying and categorizing insects""', '2. ""Insect behaviors and life cycles""', '3. ""Entomology of insect species""', '4. ""Insect populations and habitats""', '5. ""Insect pollination and ecosystems""', '6. ""Insect adaptations and survival strategies""', '7. ""Insect classification and taxonomy""', '8. ""Insect impact on human activities""', '9. ""Insect threats and conservation efforts""']"
PLAIN-1429;iowa women’s health study;"['1. ""iowa reproductive health research""', '2. ""women\'s health in iowa studies""', '3. ""iowans\' health issues survey""', '4. ""women\'s health investigation in iowa""', '5. ""iowa women\'s health and wellness project""', '6. ""reproductive health examination of iowa residents""', '7. ""women\'s health study in iowa""', '8. ""research on women\'s health in iowa""', '9. ""study about women\'s healthcare in iowa""']"
PLAIN-1441;japan;"['1. ""places of interest in japan""', '2. ""history and culture of japan""', '3. ""famous landmarks in japan""', '4. ""traditional japanese arts""', '5. ""japanese cuisine restaurants""', '6. ""japanese fashion designers""', '7. ""travel tips for japan""', '8. ""best museums in japan""', '9. ""japanese tea ceremony experience""']"
PLAIN-1453;junk food;['1. unhealthy snacks', '2. sugary treats', '3. processed fare', '4. calorie-laden items', '5. fast food alternatives', '6. low-nutrition options', '7. diet-friendly choices', '8. natural foods substitutes', '9. healthy meal replacements']
PLAIN-1463;kidney beans;['1. Can you suggest recipes using kidney beans?', '2. How can I prepare a dish with kidney beans?', '3. What are some healthy meal ideas incorporating kidney beans?', '4. Where can I find kidney bean soup recipes online?', '5. Could you recommend any kidney bean-based snacks?', '6. Which cooking methods use kidney beans effectively?', '7. Are there any kidney bean salad recipes available?', '8. How do I make kidney bean burgers at home?', '9. What are good kidney bean stews for dinner?']
PLAIN-1473;kohlrabi;['1. What are some recipes using kohlrabi?', '2. How can I cook with kohlrabi?', '3. Where can I find kohlrabi in grocery stores?', '4. Can you recommend kohlrabi dishes for dinner tonight?', '5. What are healthy kohlrabi recipes?', '6. How do I prepare kohlrabi for cooking?', '7. Are there any kohlrabi snacks available online?', '8. How do I store kohlrabi to keep it fresh?', '9. What are the nutritional benefits of eating kohlrabi?']
PLAIN-1485;lard;['1. How can I make homemade lard?', '2. What are the health benefits of using lard in cooking?', '3. Can lard be used as a substitute for butter?', '4. How is lard produced from pork fat?', '5. Where can I buy high-quality lard?', '6. Are there any alternatives to lard in baking recipes?', '7. How does lard compare to other types of fats in nutrition?', '8. Is lard considered safe for consumption by vegetarians?', '9. How do I store and preserve lard properly?']
PLAIN-1496;leeks;['1. What are some dishes made with leeks?', '2. How can I use leeks in cooking?', '3. Can you recommend recipes using leeks?', '4. Where can I find recipes containing leeks?', '5. What is the nutritional value of leeks?', '6. How do I properly store and prepare leeks for cooking?', '7. Are there any traditional dishes featuring leeks?', '8. Which countries commonly use leeks in their cuisine?', '9. What are the health benefits of eating leeks?']
PLAIN-1506;leucine;['1. What are the health benefits of leucine?', '2. How does leucine affect muscle growth in athletes?', '3. Can you provide recipes using leucine-rich ingredients?', '4. What are some foods high in leucine?', '5. How is leucine involved in protein synthesis?', '6. Is leucine a key amino acid for vegetarians and vegans?', '7. What are the effects of excessive intake of leucine?', '8. How can leucine be incorporated into smoothies?', '9. Which supplements contain significant amounts of leucine?']
PLAIN-1516;lindane;"['1. Organic compounds containing lindane', '2. Lindane derivative chemicals', '3. Lathered with lindane', '4. Application of lindane products', '5. Lindane in skincare formulations', ""6. Lindane's environmental impact"", '7. Lindane toxicity levels', '8. Lindane usage in agriculture', '9. Lindane-based insecticides']"
PLAIN-1527;liver disease;['1. What are some symptoms of liver disease?', '2. How does alcohol consumption affect liver health?', '3. Can fatty liver disease be reversed?', '4. What is the prevalence rate of hepatitis B in developing countries?', '5. How can I prevent myself from getting liver disease?', '6. What are the long-term effects of chronic liver diseases?', '7. Are there any natural remedies for liver disease?', '8. What causes non-alcoholic steatohepatitis (NASH)?', '9. How do genetics play a role in the development of liver disease?']
PLAIN-1537;low-carb diets;['1. Best low carb meal plans', '2. Low carb diet recipes for beginners', '3. How to start a low carb lifestyle', '4. Low carb alternatives to carbs', '5. The benefits of a low carb diet', '6. Low carb diet vs keto diet comparison', '7. Top 10 low carb snacks', '8. Tips for maintaining a low carb diet', '9. Low carb weight loss strategies']
PLAIN-1547;lyme disease;"['1. ""symptoms of Lyme disease""', '2. ""causes and transmission of Lyme disease""', '3. ""diagnosis methods for Lyme disease""', '4. ""treatment options for Lyme disease""', '5. ""chronic Lyme disease symptoms""', '6. ""Lyme disease in dogs""', '7. ""long-term effects of Lyme disease""', '8. ""Lyme disease prevention tips""', '9. ""Lyme disease complications""']"
PLAIN-1557;magnesium;"['1. ""calcium and magnesium content in food""', '2. ""health benefits of magnesium supplements""', '3. ""how much magnesium is too much?""', '4. ""natural sources of magnesium""', '5. ""mg absorption in humans""', '6. ""effectiveness of magnesium for anxiety""', '7. ""supplements vs dietary intake of magnesium""', '8. ""best foods high in magnesium""', '9. ""side effects of taking magnesium tablets""']"
PLAIN-1568;maple syrup;['1. How do I make maple syrup at home?', '2. Maple syrup recipes for beginners.', '3. Buying guide for high-quality maple syrup.', '4. Differences between maple and honey syrups.', '5. Maples in winter landscapes.', '6. History of maple syrup production in North America.', '7. Maple syrup flavor profiles by country.', '8. Best maple syrup brands compared.', '9. Maple syrup nutritional facts and benefits.']
PLAIN-1579;mastitis;"['1. ""symptoms of mastitis""', '2. ""treatment for mastitis""', '3. ""causes of mastitis""', '4. ""diagnosis of mastitis""', '5. ""management of mastitis""', '6. ""risk factors of mastitis""', '7. ""prevention tips for mastitis""', '8. ""latest research on mastitis""', '9. ""effective home remedies for mastitis""']"
PLAIN-1590;medical ethics;['1. ethical considerations in healthcare', '2. moral principles of medicine', '3. professional conduct in medical practice', '4. biomedical ethics overview', '5. ethical dilemmas in medicine', '6. medical codes and standards', '7. bioethics in clinical settings', '8. medical decision-making ethics', '9. ethical guidelines for doctors']
PLAIN-1601;memory;['1. How do I improve my memory?', '2. What are some techniques for enhancing memory retention?', '3. How can I boost my memory capacity?', '4. Memory improvement tips and tricks.', '5. Strategies to enhance cognitive function including memory.', '6. Improving short-term memory exercises.', '7. Enhancing long-term memory strategies.', '8. Memory training programs and resources.', '9. Techniques for improving recall abilities.']
